"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"New York Yankees",107.2,117.2,95.8,36,22,72
"New York Mets",103.3,115.7,88.8,37,22,67
"Detroit Tigers",102.5,117.1,88,40,21,63
"Los Angeles Dodgers",101.3,115.5,84.9,36,23,66
"San Diego Padres",101.2,116.6,83.3,33,24,69
"Chicago Cubs",99.2,119,76.6,37,22,63
"San Francisco Giants",98.1,106.1,88.2,33,26,66
"Philadelphia Phillies",95.6,111.1,80.6,36,23,60
"St. Louis Cardinals",91.9,106.8,74.6,33,26,59
"Cincinnati Reds",86.8,96.8,76.5,29,32,58
"Tampa Bay Rays",86.3,98.2,72.3,30,29,57
"Houston Astros",85.6,99.4,69.4,32,27,54
"Arizona Diamondbacks",83.3,92.5,72.3,28,31,56
"Seattle Mariners",82.4,102,62.8,32,26,51
"Boston Red Sox",82,92.2,71.3,29,33,53
"Minnesota Twins",78.8,101.9,54.9,32,27,47
"Cleveland Guardians",78.8,92.4,67.4,32,27,47
"Kansas City Royals",78.2,90,67.5,31,29,48
"Milwaukee Brewers",78.2,100.2,54.8,33,28,46
"Toronto Blue Jays",75.7,93.2,58.2,31,28,45
"Texas Rangers",73.9,85.4,63.3,29,31,45
"Atlanta Braves",72.3,90.4,55.4,27,31,46
"Washington Nationals",68.3,80,58.5,28,31,41
"Baltimore Orioles",66.3,92.9,43.5,22,36,45
"Los Angeles Angels",66.1,85.8,49,27,32,40
"Chicago White Sox",64.3,92.6,39.3,18,42,47
"Athletics",63.5,82.8,48,23,37,41
"Miami Marlins",63.1,72.6,53.8,23,35,41
"Pittsburgh Pirates",58.3,66.9,50.7,22,38,37
"Colorado Rockies",34.3,42.2,27,10,50,25
