"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"Milwaukee Brewers",95.9,104.9,87,73,44,23
"Los Angeles Dodgers",95,99.6,89.9,68,50,27
"Chicago Cubs",94.7,101.5,87.3,67,50,28
"Detroit Tigers",94.5,98.9,89.4,68,51,27
"Philadelphia Phillies",93.6,98.4,88.6,68,49,26
"San Diego Padres",92.2,98.2,85.4,66,52,27
"New York Yankees",90.8,94.5,86.6,62,56,29
"New York Mets",89.9,94.5,84.9,63,55,27
"Houston Astros",89.6,94.3,84.8,66,52,24
"Toronto Blue Jays",89.2,95.5,83.4,69,50,21
"Boston Red Sox",88.5,91.8,84.7,66,54,23
"Seattle Mariners",87.6,93.2,81.8,66,53,22
"Cincinnati Reds",85.2,88.3,82.4,63,59,23
"San Francisco Giants",84.9,88.9,80.6,59,59,26
"St. Louis Cardinals",83.5,88.4,78.2,60,59,24
"Tampa Bay Rays",81.1,84.9,76.9,57,62,25
"Texas Rangers",81.1,86,76.6,60,59,22
"Cleveland Guardians",81.1,84.8,77.5,61,57,21
"Arizona Diamondbacks",79.3,82.4,76.1,57,62,23
"Kansas City Royals",78.6,81.9,75.3,58,60,21
"Minnesota Twins",77.6,85.2,70.6,57,61,21
"Miami Marlins",74.5,78,71.3,57,61,18
"Los Angeles Angels",73.5,79.5,68.2,56,62,18
"Atlanta Braves",72.2,78.3,66.4,52,67,21
"Baltimore Orioles",70.8,78.6,64.1,53,65,18
"Athletics",69.3,74.5,64.5,53,67,17
"Pittsburgh Pirates",67.7,71.5,64.3,51,68,17
"Washington Nationals",64.9,68.4,61.6,47,70,18
"Chicago White Sox",61.5,70.4,53.9,43,75,19
"Colorado Rockies",41.1,43.9,38.6,30,87,12
