"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"New York Yankees",102.3,110,94.7,45,32,58
"Detroit Tigers",100.8,110.7,89.3,49,30,52
"Los Angeles Dodgers",100,110,88.3,48,31,52
"New York Mets",99.7,108.5,89.4,46,32,54
"Chicago Cubs",98.4,113,81.3,46,31,53
"San Francisco Giants",96,102.5,88.7,44,34,52
"Philadelphia Phillies",95.3,105.4,83.7,47,31,49
"San Diego Padres",95,107.7,80.8,42,35,53
"Tampa Bay Rays",89.9,98.7,80,43,35,47
"Houston Astros",89.5,99.5,78.5,45,33,45
"St. Louis Cardinals",89.5,100,77.6,42,36,48
"Cincinnati Reds",87.9,95,80.1,41,38,47
"Boston Red Sox",83.6,91.5,75.2,40,39,44
"Arizona Diamondbacks",83.2,90.3,75.5,39,39,45
"Milwaukee Brewers",81.6,99.6,63.5,43,35,39
"Seattle Mariners",80.7,95,67.4,39,37,42
"Toronto Blue Jays",78.8,91.6,65.7,41,36,38
"Cleveland Guardians",77.9,87,69.6,39,38,39
"Kansas City Royals",77.1,85.2,69.7,38,40,40
"Minnesota Twins",77,94.5,59.5,38,40,39
"Texas Rangers",76.5,85.7,68.2,38,40,39
"Atlanta Braves",74.4,88,59.9,35,41,40
"Los Angeles Angels",70.1,83.5,57.1,37,40,34
"Baltimore Orioles",67.9,88,50.8,33,44,35
"Washington Nationals",65.1,73.2,58.2,32,46,34
"Miami Marlins",64,70.8,57.1,31,45,33
"Athletics",63.7,76.6,52.3,32,48,32
"Pittsburgh Pirates",61.6,68.4,55.7,31,48,31
"Chicago White Sox",61,81.6,42.3,25,53,36
"Colorado Rockies",38.1,44.4,32.7,18,60,21
