"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"Detroit Tigers",99.7,106.8,91.9,59,38,41
"Los Angeles Dodgers",98.4,105.8,90.4,58,39,41
"Chicago Cubs",98,108,86.2,57,39,41
"New York Yankees",96.8,102.7,90.5,53,43,44
"New York Mets",95.5,102.5,87.9,55,42,41
"Philadelphia Phillies",92.8,100.3,85,55,41,38
"San Diego Padres",92.2,101.9,80.8,52,44,41
"Houston Astros",91.4,98.8,83.4,56,40,36
"San Francisco Giants",90.9,96.8,85,52,45,39
"Milwaukee Brewers",87.8,101.5,75.2,56,40,32
"St. Louis Cardinals",87.2,94.9,79.1,51,46,37
"Boston Red Sox",87.1,92.4,81.7,54,45,34
"Cincinnati Reds",86.5,91.5,81.4,51,48,36
"Tampa Bay Rays",86.4,92.8,79.7,50,47,37
"Toronto Blue Jays",85,94.9,76.1,55,41,30
"Seattle Mariners",83.6,93.5,74.3,51,45,33
"Arizona Diamondbacks",80.5,85.5,75.2,47,51,34
"Minnesota Twins",79.1,91.3,66.8,48,49,32
"Texas Rangers",78.8,86,72.3,48,49,31
"Kansas City Royals",77.3,83.1,72.1,47,50,31
"Cleveland Guardians",75.9,82.2,70.1,46,50,30
"Atlanta Braves",73.3,83.7,63.8,42,53,32
"Los Angeles Angels",72.9,82.9,63.8,47,49,26
"Baltimore Orioles",70.3,83.7,58,43,52,28
"Miami Marlins",70,75.1,65,44,51,26
"Athletics",65.1,74.6,56.6,41,57,25
"Washington Nationals",64.3,69.5,59.2,38,58,27
"Pittsburgh Pirates",63.5,68.8,58.6,39,58,25
"Chicago White Sox",59.7,74,47.3,32,65,28
"Colorado Rockies",37.9,42.3,34.1,22,74,16
