"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"New York Yankees",107.6,118.7,95.4,34,20,74
"San Diego Padres",102.3,117.4,84.9,31,23,72
"Detroit Tigers",101.6,117.1,84.7,37,20,65
"New York Mets",101.5,115.4,87.2,34,22,68
"Los Angeles Dodgers",101.1,116.4,85.2,34,22,68
"Chicago Cubs",97.9,120.3,73.1,34,21,64
"San Francisco Giants",97.8,106.3,88.9,31,25,67
"Philadelphia Phillies",97.5,113.3,81,35,19,63
"St. Louis Cardinals",91.9,107.7,75.6,32,24,60
"Cincinnati Reds",88.2,98.2,78.2,28,29,61
"Tampa Bay Rays",85.8,99.7,71.9,28,27,58
"Houston Astros",84.9,101,69.3,30,25,55
"Arizona Diamondbacks",83.7,93.8,74,27,29,57
"Seattle Mariners",83.1,104,62.2,30,23,54
"Boston Red Sox",81.6,92.7,70.1,27,31,55
"Cleveland Guardians",78.8,91.2,66,30,26,49
"Kansas City Royals",78.7,89.6,67.7,30,27,49
"Minnesota Twins",78.3,103,55.5,31,25,48
"Milwaukee Brewers",75.4,101.1,51.8,29,28,47
"Texas Rangers",74,84.8,63,27,29,47
"Toronto Blue Jays",72.4,91.3,54.4,26,28,47
"Atlanta Braves",71.6,91.5,53.2,25,28,47
"Chicago White Sox",66.7,94.6,39.5,18,38,49
"Athletics",66.5,84.5,49.8,23,33,44
"Washington Nationals",66.3,77.4,55.9,24,30,43
"Los Angeles Angels",65.6,86.7,47.2,25,29,41
"Baltimore Orioles",65.2,93.2,40.5,19,36,47
"Miami Marlins",64,74.1,54.5,22,32,42
"Pittsburgh Pirates",58.2,66.2,49.9,21,36,38
"Colorado Rockies",35.3,44.8,27.2,9,46,27
