"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"Detroit Tigers",101.6,109.8,92.1,57,34,45
"Los Angeles Dodgers",100.5,109,90.7,56,35,45
"Chicago Cubs",98.2,109.7,85,54,36,45
"New York Yankees",97,103.5,89.9,49,41,48
"New York Mets",96.7,104.6,87.8,52,39,45
"Philadelphia Phillies",93.8,102.5,84.8,53,37,41
"Houston Astros",93.1,101.8,84.3,55,35,39
"San Diego Padres",92.5,103.5,80.4,48,41,45
"San Francisco Giants",92.2,98.5,85.5,49,42,44
"Tampa Bay Rays",89.1,96.7,81.5,49,41,41
"St. Louis Cardinals",87.9,97,78.3,48,43,40
"Cincinnati Reds",86.5,92.1,80.6,47,45,40
"Toronto Blue Jays",84.8,95.5,74.4,52,38,33
"Milwaukee Brewers",84.1,99.1,70,50,40,35
"Boston Red Sox",83.7,89.9,77.3,47,45,37
"Seattle Mariners",83.4,93.8,72.9,48,42,36
"Arizona Diamondbacks",81.1,87.2,74.9,44,47,38
"Texas Rangers",78,85.6,70.4,44,46,34
"Minnesota Twins",77.6,91,63.6,44,47,34
"Kansas City Royals",76.1,82.6,69.7,43,48,34
"Atlanta Braves",73.4,84.4,62.4,39,50,35
"Cleveland Guardians",73.3,80.8,66.5,40,49,34
"Los Angeles Angels",71.8,83.3,61.2,43,46,29
"Baltimore Orioles",70.1,85,56.4,40,49,31
"Miami Marlins",68.6,74.1,62.8,40,48,29
"Washington Nationals",66,72.2,60,37,53,29
"Pittsburgh Pirates",64.6,70.5,58.9,38,53,27
"Athletics",63.8,73.9,54.4,37,55,27
"Chicago White Sox",61,77.1,46.5,30,60,31
"Colorado Rockies",38.6,43.6,34,21,69,18
